index,title,keywords,duration,genres,climate
0,bhaktapur durbar square, durbarsquare ,1day,historical ,moderate
1,hanuman dhoka,durbarsquare,1day,historical ,moderate
2,tilicho,lake treaking,ndays,adventure,cold
3,poon hill, lake treaking snow,ndays,adventure,cold
4,gosaikunda,lake treaking snow,ndays,adventure,cold
5,pokhara,bunjee paraglide chill lake boating,ndays,adventure family,warm
6,chittwan,national-park  boating safari  ,ndays,adventure family,warm
7,lumbini,buddha pilgrimage,ndays,historical ,warm
8,shivapuri,national-park hiking ,1day,adventure,moderate
9,lalitpur durbar square,durbarsquare,1day,historical ,moderate
10,rara,lake treaking boating,ndays,family,cold
